Country,Tenor,Model_Type,Status,Train_RMSE,Train_R2,Test_RMSE,Test_R2,Is_Best_Model,Error
United States,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
United States,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
United States,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
United States,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
United States,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
United States,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
United States,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
United States,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
United States,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
United States,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
United States,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
United States,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
United Kingdom,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
United Kingdom,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
United Kingdom,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
United Kingdom,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
United Kingdom,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
United Kingdom,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
United Kingdom,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
United Kingdom,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
United Kingdom,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
United Kingdom,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
United Kingdom,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
United Kingdom,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
France,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
France,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
France,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
France,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
France,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
France,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
France,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
France,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
France,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
France,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
France,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
France,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Germany,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Germany,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Germany,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Germany,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Germany,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Germany,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Germany,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Germany,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Germany,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Germany,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
Germany,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
Germany,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Italy,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Italy,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Italy,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Italy,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Italy,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Italy,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Italy,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Italy,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Italy,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Italy,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
Italy,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
Italy,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Poland,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Poland,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Poland,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Poland,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Poland,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Poland,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Poland,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Poland,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Poland,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Poland,yld_30yr,mlp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Poland,yld_30yr,gbm,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Poland,yld_30yr,gp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Hungary,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Hungary,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Hungary,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Hungary,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Hungary,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Hungary,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Hungary,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Hungary,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Hungary,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Hungary,yld_30yr,mlp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Hungary,yld_30yr,gbm,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Hungary,yld_30yr,gp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Czechia,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Czechia,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Czechia,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Czechia,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Czechia,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Czechia,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Czechia,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Czechia,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Czechia,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Czechia,yld_30yr,mlp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Czechia,yld_30yr,gbm,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Czechia,yld_30yr,gp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
South Africa,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
South Africa,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
South Africa,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Africa,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
South Africa,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
South Africa,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Africa,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
South Africa,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
South Africa,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Africa,yld_30yr,mlp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
South Africa,yld_30yr,gbm,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
South Africa,yld_30yr,gp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Canada,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Canada,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Canada,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Canada,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Canada,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Canada,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Canada,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Canada,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Canada,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Canada,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
Canada,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
Canada,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Australia,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Australia,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Australia,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Australia,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Australia,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Australia,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Australia,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Australia,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Australia,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Australia,yld_30yr,mlp,Success - Advanced MLP Training,,,,,True,
Australia,yld_30yr,gbm,Success - Advanced GBM Training,,,,,False,
Australia,yld_30yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Korea,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
South Korea,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
South Korea,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
South Korea,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
South Korea,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
